City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,Waverly,42.7392,-84.6208,28.54,72,100,10.36,US,2023-01-13 21:39:25
318,Nehe,48.4833,124.8333,-22.79,89,4,3.62,CN,2023-01-13 21:39:25
319,Zasheyek,67.4066,32.5499,27.95,95,100,8.23,RU,2023-01-13 21:39:25
320,Belyy Yar,53.6039,91.3903,10.29,72,0,15.66,RU,2023-01-13 21:39:26
321,Loandjili,-4.7561,11.8578,78.03,83,96,2.8,CG,2023-01-13 21:39:26
322,Salta,-24.7859,-65.4117,72.19,43,40,4.61,AR,2023-01-13 21:39:28
323,Benguela,-12.5763,13.4055,77.11,79,100,1.86,AO,2023-01-13 21:39:28
324,Oswego,43.4501,-76.1497,30.34,92,99,10.47,US,2023-01-13 21:39:28
325,Mogadishu,2.0371,45.3438,77.4,79,52,19.89,SO,2023-01-13 21:40:29
326,Sorong,-0.8833,131.25,78.4,84,81,5.44,ID,2023-01-13 21:40:29
327,Ponta Do Sol,32.6667,-17.1,63.23,73,3,6.78,PT,2023-01-13 21:40:30
328,Saint George,37.1041,-113.5841,58.42,40,0,1.99,US,2023-01-13 21:40:30
329,Haines Junction,60.7522,-137.5108,13.15,95,100,1.07,CA,2023-01-13 21:40:31
330,Chaihe,44.7667,129.7,-0.36,96,99,2.1,CN,2023-01-13 21:40:31
331,Bethel,41.3712,-73.414,49.55,79,100,6.91,US,2023-01-13 21:40:31
332,Port Moresby,-9.4431,147.1797,78.08,83,88,7.05,PG,2023-01-13 21:40:32
333,Shizunai,42.3339,142.3669,39.92,94,100,6.73,JP,2023-01-13 21:40:32
334,Krasnaya Gora,52.9995,31.6023,26.11,88,92,11.39,RU,2023-01-13 21:40:32
335,Yakovlevskoye,55.4419,37.9506,26.53,86,100,8.99,RU,2023-01-13 21:40:33
336,Tanete,-3.9443,119.7848,74.41,95,100,2.91,ID,2023-01-13 21:40:33
337,Thinadhoo,0.5333,72.9333,80.13,65,100,12.77,MV,2023-01-13 21:40:34
338,Swedru,5.5371,-0.6998,76.69,88,26,3.51,GH,2023-01-13 21:40:34
339,Tingi,-11.3,35.0333,62.62,95,100,1.79,TZ,2023-01-13 21:40:35
340,Margate,51.3813,1.3862,43.11,79,99,3.0,GB,2023-01-13 21:37:44
341,Basirpur,30.5832,73.829,43.36,57,0,7.07,PK,2023-01-13 21:40:35
342,Agadez,19.75,10.25,58.98,26,54,6.31,NE,2023-01-13 21:40:35
343,San Quintin,30.4833,-115.95,66.11,50,100,11.54,MX,2023-01-13 21:40:36
344,Trecate,45.4348,8.7368,44.82,77,0,4.05,IT,2023-01-13 21:40:36
345,Kalang,5.9197,121.3631,78.03,86,100,12.59,PH,2023-01-13 21:40:37
346,Murud,18.3258,72.965,64.94,81,3,6.73,IN,2023-01-13 21:40:37
347,Thies,14.8342,-17.1061,74.7,32,20,10.22,SN,2023-01-13 21:40:37
348,Padang,-0.9492,100.3543,73.45,85,100,4.32,ID,2023-01-13 21:40:38
349,Nogales,31.3086,-110.9422,74.77,12,0,5.75,MX,2023-01-13 21:35:52
350,Waspan,14.7419,-83.9717,79.43,70,58,8.39,NI,2023-01-13 21:40:38
351,Wembley,-31.9333,115.8,59.68,67,0,18.41,AU,2023-01-13 21:40:39
352,Huntsville,34.7304,-86.5861,37.92,84,100,14.97,US,2023-01-13 21:37:36
353,Calbuco,-41.768,-73.1273,61.81,72,55,8.86,CL,2023-01-13 21:40:40
354,Airai,-8.9266,125.4092,61.02,90,100,1.3,TL,2023-01-13 21:40:40
355,Jibuti,11.5,42.5,68.2,72,100,15.03,DJ,2023-01-13 21:40:40
356,Maurawan,26.4333,80.8833,55.44,73,1,4.45,IN,2023-01-13 21:40:41
357,Polson,47.6936,-114.1632,38.77,70,98,2.21,US,2023-01-13 21:40:41
358,Sao Goncalo Do Amarante,-3.6072,-38.9683,81.12,75,14,9.86,BR,2023-01-13 21:40:41
359,Krasnoborsk,61.5598,45.934,24.91,89,92,11.14,RU,2023-01-13 21:40:42
360,Benjamin Hill,30.1667,-111.1,77.25,13,51,4.85,MX,2023-01-13 21:40:42
