City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Polyarnyy,RU,69.1989,33.4478,21.02,80,10,14.07,clear sky
312,Berlevag,NO,70.8578,29.0864,33.8,74,39,9.22,scattered clouds
313,Gat,IL,31.61,34.7642,53.4,70,0,4.52,clear sky
314,Prince Albert,CA,53.2001,-105.7677,12.15,92,75,5.75,broken clouds
315,Mayumba,GA,-3.432,10.6554,77.9,85,100,3.44,moderate rain
316,Ekhabi,RU,53.5102,142.9671,-26.7,92,86,4.07,overcast clouds
317,Shimoda,JP,34.6667,138.95,48.56,52,85,11.77,overcast clouds
318,Kurilsk,RU,45.2333,147.8833,24.26,63,100,13.11,overcast clouds
319,Chuy,UY,-33.6971,-53.4616,70.36,75,0,11.25,clear sky
320,Lompoc,US,34.6391,-120.4579,56.84,75,20,14.97,few clouds
321,Riyadh,SA,24.6877,46.7219,48.34,79,2,13.76,clear sky
322,Senneterre,CA,48.3835,-77.2328,26.22,98,100,1.88,overcast clouds
323,Merauke,ID,-8.4667,140.3333,81.21,81,100,11.25,overcast clouds
324,Papara,BR,-3.9839,-38.7273,81.0,92,29,2.75,scattered clouds
325,Multai,IN,21.7667,78.25,56.46,54,9,4.65,clear sky
326,Shubarkuduk,KZ,49.1447,56.4872,7.88,72,0,8.81,clear sky
327,Jibuti,DJ,11.5,42.5,67.08,72,59,7.0,broken clouds
328,Quelimane,MZ,-17.8786,36.8883,76.95,94,20,3.44,few clouds
329,Kirakira,SB,-10.4544,161.9205,81.41,82,100,11.43,overcast clouds
330,Kingaroy,AU,-26.5333,151.8333,76.55,51,23,11.14,few clouds
331,Beringovskiy,RU,63.05,179.3167,-16.83,95,100,15.23,overcast clouds
332,Sitka,US,57.0531,-135.33,42.69,75,100,17.27,haze
333,Nikolayevsk-Na-Amure,RU,53.1406,140.73,-22.0,97,97,1.57,overcast clouds
334,Zyryanka,RU,65.75,150.85,-28.32,97,100,5.44,overcast clouds
335,Burnie,AU,-41.0667,145.9167,67.95,63,100,13.65,overcast clouds
336,Jalu,LY,29.0331,21.5482,56.17,48,0,9.75,clear sky
337,Alekseyevsk,RU,57.8406,108.3492,-25.33,93,100,7.58,overcast clouds
338,Pelym,RU,61.0108,61.9978,8.08,85,20,7.4,few clouds
339,Port Blair,IN,11.6667,92.75,68.04,88,90,0.0,mist
340,Okhotsk,RU,59.3833,143.3,-19.68,92,100,8.25,overcast clouds
341,Discovery Bay,US,37.9085,-121.6002,58.15,56,0,5.01,clear sky
342,Port Lincoln,AU,-34.7333,135.8667,62.08,69,100,18.57,overcast clouds
343,Wanlaweyn,SO,2.6185,44.8938,72.72,81,80,8.97,broken clouds
344,Callaway,US,30.153,-85.5699,68.05,93,100,8.05,overcast clouds
